@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
119,'2022/02/21 13:16:24:551',1,160.464951,117.004272,58.694122,1
120,'2022/02/21 13:16:24:654',1,182.822311,212.339355,246.219421,1
121,'2022/02/21 13:16:24:750',1,203.710587,270.475494,354.266846,1
122,'2022/02/21 13:16:24:848',1,213.841064,285.240234,386.846222,1
123,'2022/02/21 13:16:24:947',1,224.439301,289.387299,393.103027,1
124,'2022/02/21 13:16:25:046',1,235.61409,297.249054,401.991302,1
125,'2022/02/21 13:16:25:145',1,233.565842,299.541321,404.249908,1
126,'2022/02/21 13:16:25:244',1,241.406296,301.532745,408.86795,1
127,'2022/02/21 13:16:25:343',1,245.448563,305.360443,413.627838,1
128,'2022/02/21 13:16:25:443',1,245.733597,309.672394,414.400787,1
129,'2022/02/21 13:16:25:541',1,242.01239,307.405273,410.409546,1
130,'2022/02/21 13:16:25:641',1,226.514893,305.262177,397.152374,1
131,'2022/02/21 13:16:25:738',1,226.715683,303.842072,392.621948,1
132,'2022/02/21 13:16:25:838',1,217.816437,306.602356,385.923553,1
133,'2022/02/21 13:16:25:937',1,214.161148,303.295227,377.06897,1
134,'2022/02/21 13:16:26:036',1,17.029387,122.918671,127.094452,1
135,'2022/02/21 13:16:26:135',1,50.477718,112.271988,79.40403,1
136,'2022/02/21 13:16:26:234',1,59.640591,106.404884,50.249378,1
137,'2022/02/21 13:16:26:334',1,55.803226,110.136276,58.309521,1
138,'2022/02/21 13:16:26:427',1,53.254108,114.01754,76.026314,1
139,'2022/02/21 13:16:27:077',1,30.265491,93.230896,75.894661,1
140,'2022/02/21 13:16:27:154',1,19.104973,77.935867,71.168816,1
141,'2022/02/21 13:16:27:253',1,13,81.055534,73.57309,1
142,'2022/02/21 13:16:27:353',1,11.18034,85.796272,80.709358,1
143,'2022/02/21 13:16:27:451',1,13.928389,91.547798,79.630394,1
144,'2022/02/21 13:16:27:550',1,20.615528,98.412399,82.097504,1
145,'2022/02/21 13:16:27:649',1,21.84033,97.6166,81.006172,1
146,'2022/02/21 13:16:27:748',1,14,95.131485,88.102211,1
147,'2022/02/21 13:16:27:847',1,12.041595,92.114059,96.176918,1
148,'2022/02/21 13:16:27:946',1,11.045361,95.425362,101.862656,1
149,'2022/02/21 13:16:28:046',1,23.43075,99.035347,104.446159,1
150,'2022/02/21 13:16:28:146',1,44.598206,134.465607,162.388428,1
151,'2022/02/21 13:16:28:245',1,191.481064,220.095428,140.246216,1
152,'2022/02/21 13:16:28:344',1,260.284454,205.905319,190.821899,1
153,'2022/02/21 13:16:28:444',1,283.240173,219.317123,262.246063,1
154,'2022/02/21 13:16:28:542',1,296.939392,268.888458,325.345978,1
155,'2022/02/21 13:16:28:640',1,292.726837,298.760773,361.95166,1
156,'2022/02/21 13:16:28:740',1,284.344849,292.318329,373.076385,1
157,'2022/02/21 13:16:28:839',1,270.839447,282.899261,373.001343,1
158,'2022/02/21 13:16:28:939',1,262.731812,273.300201,364.177155,1
159,'2022/02/21 13:16:29:038',1,265.480682,288.92215,375.089325,1
160,'2022/02/21 13:16:29:137',1,275.485016,322.578674,402.955322,1
161,'2022/02/21 13:16:29:236',1,268.001862,325.424347,402.68103,1
162,'2022/02/21 13:16:29:335',1,266.542694,287.174164,361.424957,1
163,'2022/02/21 13:16:29:436',1,243.852417,146.348892,178.241409,1
164,'2022/02/21 13:16:29:537',1,169.186295,255.42514,143.561829,1
